configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272448,2.298
1,50%,xz,-3,1,3272440,2.245
10,100%,xz,-9,1,2849908,5.581
11,50%,lzma,-6,16,2849620,5.533
12,75%,xz,-3,32,3272448,2.299
13,50%,lzma,-3,16,3271884,2.269
14,50%,lzma,-6,32,2849620,5.545
15,50%,xz,-6,32,2850112,5.486
16,75%,lzma,-3,16,3271884,2.254
17,75%,lzma,-6,32,2849620,5.526
18,100%,lzma,-6,1,2849620,5.538
19,75%,lzma,-3,1,3271884,2.285
2,75%,xz,-9,16,2849916,5.622
20,75%,lzma,-6,1,2849620,5.551
21,75%,lzma,-6,16,2849620,5.554
22,100%,xz,-9,32,2849916,5.607
23,100%,xz,-9,16,2849916,5.619
24,50%,lzma,-9,32,2849422,5.583
25,50%,lzma,-3,32,3271884,2.28
26,100%,xz,-3,1,3272440,2.261
27,100%,lzma,-9,16,2849422,5.675
28,100%,lzma,-3,1,3271884,2.285
29,50%,lzma,-6,1,2849620,5.528
3,100%,xz,-6,32,2850112,5.516
4,50%,lzma,-3,1,3271884,2.26
5,75%,xz,-3,1,3272440,2.285
6,100%,lzma,-6,16,2849620,5.523
7,75%,xz,-6,32,2850112,5.55
8,50%,xz,-3,32,3272448,2.25
9,75%,xz,-9,32,2849916,5.6
