configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,515656,0.445
1,50%,xz,-3,1,515648,0.435
10,100%,xz,-9,1,453260,1.502
11,50%,lzma,-6,16,453144,1.403
12,75%,xz,-3,32,515656,0.464
13,50%,lzma,-3,16,515524,0.468
14,50%,lzma,-6,32,453144,1.432
15,50%,xz,-6,32,453268,1.429
16,75%,lzma,-3,16,515524,0.449
17,75%,lzma,-6,32,453144,1.403
18,100%,lzma,-6,1,453144,1.41
19,75%,lzma,-3,1,515524,0.447
2,75%,xz,-9,16,453268,1.512
20,75%,lzma,-6,1,453144,1.425
21,75%,lzma,-6,16,453144,1.409
22,100%,xz,-9,32,453268,1.507
23,100%,xz,-9,16,453268,1.509
24,50%,lzma,-9,32,453144,1.481
25,50%,lzma,-3,32,515524,0.431
26,100%,xz,-3,1,515648,0.434
27,100%,lzma,-9,16,453144,1.482
28,100%,lzma,-3,1,515524,0.451
29,50%,lzma,-6,1,453144,1.402
3,100%,xz,-6,32,453268,1.453
4,50%,lzma,-3,1,515524,0.448
5,75%,xz,-3,1,515648,0.457
6,100%,lzma,-6,16,453144,1.407
7,75%,xz,-6,32,453268,1.443
8,50%,xz,-3,32,515656,0.466
9,75%,xz,-9,32,453268,1.475
