configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4853744,2.861
1,50%,xz,-3,1,4853736,2.864
10,100%,xz,-9,1,4415072,3.583
11,50%,lzma,-6,16,4414351,3.693
12,75%,xz,-3,32,4853744,2.854
13,50%,lzma,-3,16,4852943,2.818
14,50%,lzma,-6,32,4414351,3.661
15,50%,xz,-6,32,4415080,3.69
16,75%,lzma,-3,16,4852943,2.844
17,75%,lzma,-6,32,4414351,3.66
18,100%,lzma,-6,1,4414351,3.669
19,75%,lzma,-3,1,4852943,2.822
2,75%,xz,-9,16,4415080,3.588
20,75%,lzma,-6,1,4414351,3.654
21,75%,lzma,-6,16,4414351,3.659
22,100%,xz,-9,32,4415080,3.59
23,100%,xz,-9,16,4415080,3.629
24,50%,lzma,-9,32,4414351,3.577
25,50%,lzma,-3,32,4852943,2.872
26,100%,xz,-3,1,4853736,2.858
27,100%,lzma,-9,16,4414351,3.571
28,100%,lzma,-3,1,4852943,2.834
29,50%,lzma,-6,1,4414351,3.645
3,100%,xz,-6,32,4415080,3.649
4,50%,lzma,-3,1,4852943,2.834
5,75%,xz,-3,1,4853736,2.812
6,100%,lzma,-6,16,4414351,3.624
7,75%,xz,-6,32,4415080,3.673
8,50%,xz,-3,32,4853744,2.844
9,75%,xz,-9,32,4415080,3.589
