configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3001852,2.648
1,50%,xz,-3,1,3001844,2.616
10,100%,xz,-9,1,2750272,5.328
11,50%,lzma,-6,16,2749760,5.242
12,75%,xz,-3,32,3001852,2.629
13,50%,lzma,-3,16,3001334,2.65
14,50%,lzma,-6,32,2749760,5.216
15,50%,xz,-6,32,2750236,5.257
16,75%,lzma,-3,16,3001334,2.613
17,75%,lzma,-6,32,2749760,5.248
18,100%,lzma,-6,1,2749760,5.258
19,75%,lzma,-3,1,3001334,2.636
2,75%,xz,-9,16,2750280,5.363
20,75%,lzma,-6,1,2749760,5.242
21,75%,lzma,-6,16,2749760,5.274
22,100%,xz,-9,32,2750280,5.345
23,100%,xz,-9,16,2750280,5.355
24,50%,lzma,-9,32,2749803,5.329
25,50%,lzma,-3,32,3001334,2.61
26,100%,xz,-3,1,3001844,2.625
27,100%,lzma,-9,16,2749803,5.361
28,100%,lzma,-3,1,3001334,2.624
29,50%,lzma,-6,1,2749760,5.249
3,100%,xz,-6,32,2750236,5.25
4,50%,lzma,-3,1,3001334,2.624
5,75%,xz,-3,1,3001844,2.615
6,100%,lzma,-6,16,2749760,5.248
7,75%,xz,-6,32,2750236,5.216
8,50%,xz,-3,32,3001852,2.618
9,75%,xz,-9,32,2750280,5.381
