configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362640,6.06
1,tiff,1,1,0,1,6362634,6.103
10,png,1,0,1,1,6662793,12.273
11,png,1,0,0,1,6662523,12.283
12,png,0,1,0,0,10651906,31.717
13,png,0,0,0,0,10651915,31.853
14,png,0,0,0,1,10651878,31.734
15,png,0,1,1,0,10651939,31.711
2,tiff,1,0,1,1,6362690,6.05
3,tiff,1,0,0,1,6362675,6.046
4,tiff,0,1,0,0,11409341,9.299
5,tiff,0,0,0,0,11409777,9.397
6,tiff,0,0,0,1,11409263,9.228
7,tiff,0,1,1,0,11409916,9.266
8,png,1,1,1,1,6662495,12.297
9,png,1,1,0,1,6662474,12.36
