configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213022,4.159
1,tiff,1,1,0,1,2213236,4.203
10,png,1,0,1,1,1753498,8.24
11,png,1,0,0,1,1753216,8.17
12,png,0,1,0,0,1894388,8.372
13,png,0,0,0,0,1894313,8.264
14,png,0,0,0,1,1894351,8.271
15,png,0,1,1,0,1894292,8.27
2,tiff,1,0,1,1,2214442,4.181
3,tiff,1,0,0,1,2213254,4.141
4,tiff,0,1,0,0,2400406,4.218
5,tiff,0,0,0,0,2400471,4.23
6,tiff,0,0,0,1,2401165,4.199
7,tiff,0,1,1,0,2400342,4.243
8,png,1,1,1,1,1753305,8.18
9,png,1,1,0,1,1753358,8.182
