configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.06803357580367835
1,1,1,0,1,0,1,0.013982217862203385
10,1,0,1,1,1,0,0.013745965692459144
11,1,0,1,1,1,1,0.013778963793457907
12,0,0,1,1,1,1,0.069002000040718
13,1,0,1,0,1,1,0.013703701818316571
14,0,1,1,1,0,0,0.07080763103459695
15,0,0,1,0,0,1,0.07075966905820895
16,1,1,1,1,0,1,0.013902474221863956
17,0,1,0,1,0,1,0.06991653470090874
18,0,1,0,0,1,0,0.0722588396362503
19,0,1,0,0,0,1,0.0689519255794238
2,1,0,1,1,0,0,0.013992618627800405
20,1,0,0,0,0,1,0.013985822964846394
21,0,0,0,0,0,1,0.0704356699868939
22,1,1,0,1,0,0,0.01390132863279662
23,0,1,1,0,1,0,0.07223094098786463
24,1,1,1,1,1,0,0.013846731610291416
25,0,1,1,0,0,1,0.06884206723152858
26,1,1,1,0,0,0,0.013896087739544559
27,0,0,1,0,1,0,0.07174864061082056
28,1,0,0,0,1,0,0.013899961716333916
29,1,1,0,0,1,1,0.014046432515782572
3,1,0,1,0,0,0,0.013951759824598448
4,1,1,1,1,1,1,0.013907399798913684
5,1,0,0,1,1,1,0.013834910577639236
6,1,0,0,1,0,1,0.013695410877310115
7,0,0,0,1,1,1,0.07024509922805036
8,0,0,1,1,0,1,0.06877175541983989
9,0,1,1,1,1,1,0.07040511904129987
