configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205604,0m1.145s
1,tiff,1,1,0,1,1205637,0m1.174s
10,png,1,0,1,1,1349692,0m2.509s
11,png,1,0,0,1,1349684,0m2.545s
12,png,0,1,0,0,3177569,0m5.025s
13,png,0,0,0,0,3177669,0m5.095s
14,png,0,0,0,1,3177559,0m5.020s
15,png,0,1,1,0,3177567,0m5.027s
2,tiff,1,0,1,1,1205830,0m1.159s
3,tiff,1,0,0,1,1205822,0m1.174s
4,tiff,0,1,0,0,3876607,0m1.304s
5,tiff,0,0,0,0,3876591,0m1.302s
6,tiff,0,0,0,1,3876613,0m1.331s
7,tiff,0,1,1,0,3876641,0m1.319s
8,png,1,1,1,1,1349698,0m2.527s
9,png,1,1,0,1,1349701,0m2.525s
