configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.137s
1,tiff,1,1,0,1,112,0m3.167s
10,png,1,0,1,1,112,0m3.138s
11,png,1,0,0,1,112,0m3.163s
12,png,0,1,0,0,112,0m3.158s
13,png,0,0,0,0,112,0m3.141s
14,png,0,0,0,1,112,0m3.165s
15,png,0,1,1,0,112,0m3.156s
2,tiff,1,0,1,1,112,0m3.137s
3,tiff,1,0,0,1,112,0m3.155s
4,tiff,0,1,0,0,112,0m3.164s
5,tiff,0,0,0,0,112,0m3.132s
6,tiff,0,0,0,1,112,0m3.134s
7,tiff,0,1,1,0,112,0m3.128s
8,png,1,1,1,1,112,0m3.163s
9,png,1,1,0,1,112,0m3.161s
