configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213069,0m4.185s
1,tiff,1,1,0,1,2214577,0m4.204s
10,png,1,0,1,1,1753367,0m8.226s
11,png,1,0,0,1,1753363,0m8.220s
12,png,0,1,0,0,1894268,0m8.315s
13,png,0,0,0,0,1894351,0m8.275s
14,png,0,0,0,1,1894290,0m8.249s
15,png,0,1,1,0,1894295,0m8.245s
2,tiff,1,0,1,1,2214654,0m4.155s
3,tiff,1,0,0,1,2213225,0m4.180s
4,tiff,0,1,0,0,2400419,0m4.173s
5,tiff,0,0,0,0,2400668,0m4.233s
6,tiff,0,0,0,1,2400796,0m4.224s
7,tiff,0,1,1,0,2400473,0m4.233s
8,png,1,1,1,1,1753325,0m8.204s
9,png,1,1,0,1,1753330,0m8.185s
