configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536656,1.903
1,tiff,1,1,0,1,1536629,1.856
10,png,1,0,1,1,1615771,3.522
11,png,1,0,0,1,1615744,3.517
12,png,0,1,0,0,1843148,3.674
13,png,0,0,0,0,1843145,3.702
14,png,0,0,0,1,1843158,3.673
15,png,0,1,1,0,1843147,3.73
2,tiff,1,0,1,1,1536666,1.834
3,tiff,1,0,0,1,1536673,1.864
4,tiff,0,1,0,0,1795112,1.843
5,tiff,0,0,0,0,1795015,1.861
6,tiff,0,0,0,1,1795116,1.965
7,tiff,0,1,1,0,1795017,1.868
8,png,1,1,1,1,1615753,3.583
9,png,1,1,0,1,1615775,3.525
