configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739164,1.711
1,tiff,1,1,0,1,739161,1.702
10,png,1,0,1,1,739164,1.701
11,png,1,0,0,1,739163,1.715
12,png,0,1,0,0,3168070,5.385
13,png,0,0,0,0,3168074,5.43
14,png,0,0,0,1,3168072,5.397
15,png,0,1,1,0,3168074,5.387
2,tiff,1,0,1,1,739161,1.745
3,tiff,1,0,0,1,739164,1.712
4,tiff,0,1,0,0,4807731,1.8
5,tiff,0,0,0,0,4807631,1.823
6,tiff,0,0,0,1,4807707,1.794
7,tiff,0,1,1,0,4807733,1.825
8,png,1,1,1,1,739164,1.711
9,png,1,1,0,1,739163,1.711
