configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362646,6.061
1,tiff,1,1,0,1,6362638,6.079
10,png,1,0,1,1,6662439,12.298
11,png,1,0,0,1,6662533,12.274
12,png,0,1,0,0,10651900,32.016
13,png,0,0,0,0,10651868,31.863
14,png,0,0,0,1,10651947,31.854
15,png,0,1,1,0,10651928,31.709
2,tiff,1,0,1,1,6362660,6.136
3,tiff,1,0,0,1,6362711,6.067
4,tiff,0,1,0,0,11409304,9.369
5,tiff,0,0,0,0,11409347,9.288
6,tiff,0,0,0,1,11409221,9.255
7,tiff,0,1,1,0,11409257,9.252
8,png,1,1,1,1,6662472,12.263
9,png,1,1,0,1,6662515,12.338
