configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2214681,4.24
1,tiff,1,1,0,1,2213367,4.28
10,png,1,0,1,1,1753346,8.277
11,png,1,0,0,1,1753264,8.247
12,png,0,1,0,0,1894322,8.299
13,png,0,0,0,0,1894351,8.412
14,png,0,0,0,1,1894475,8.272
15,png,0,1,1,0,1894271,8.305
2,tiff,1,0,1,1,2213121,4.208
3,tiff,1,0,0,1,2213146,4.194
4,tiff,0,1,0,0,2401746,4.314
5,tiff,0,0,0,0,2401255,4.251
6,tiff,0,0,0,1,2400407,4.255
7,tiff,0,1,1,0,2401083,4.292
8,png,1,1,1,1,1753387,8.214
9,png,1,1,0,1,1753300,8.369
