configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612699,1.399
1,tiff,1,1,0,1,1612696,1.34
10,png,1,0,1,1,1577755,3.128
11,png,1,0,0,1,1577753,3.105
12,png,0,1,0,0,2357342,5.09
13,png,0,0,0,0,2357330,5.05
14,png,0,0,0,1,2341673,4.856
15,png,0,1,1,0,2357337,5.082
2,tiff,1,0,1,1,1612689,1.339
3,tiff,1,0,0,1,1612689,1.314
4,tiff,0,1,0,0,2762587,1.396
5,tiff,0,0,0,0,2762577,1.426
6,tiff,0,0,0,1,2745031,1.414
7,tiff,0,1,1,0,2762007,1.438
8,png,1,1,1,1,1577751,3.093
9,png,1,1,0,1,1577752,3.135
