configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273933,5.408
1,tiff,1,1,0,1,3273976,5.518
10,png,1,0,1,1,3254952,8.828
11,png,1,0,0,1,3254940,8.797
12,png,0,1,0,0,8502361,26.187
13,png,0,0,0,0,8502329,26.168
14,png,0,0,0,1,8502328,26.243
15,png,0,1,1,0,8502390,26.33
2,tiff,1,0,1,1,3273945,5.525
3,tiff,1,0,0,1,3273905,5.454
4,tiff,0,1,0,0,10068936,6.148
5,tiff,0,0,0,0,10068898,6.129
6,tiff,0,0,0,1,10068929,6.19
7,tiff,0,1,1,0,10068843,6.204
8,png,1,1,1,1,3254973,8.833
9,png,1,1,0,1,3254917,8.854
