configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175427,0.187
1,tiff,1,1,0,1,175427,0.173
10,png,1,0,1,1,169394,0.173
11,png,1,0,0,1,169390,0.204
12,png,0,1,0,0,1185052,2.923
13,png,0,0,0,0,1185041,2.871
14,png,0,0,0,1,1184898,2.887
15,png,0,1,1,0,1185030,2.921
2,tiff,1,0,1,1,175430,0.176
3,tiff,1,0,0,1,175430,0.201
4,tiff,0,1,0,0,1698456,0.372
5,tiff,0,0,0,0,1698380,0.35
6,tiff,0,0,0,1,1696991,0.345
7,tiff,0,1,1,0,1698456,0.348
8,png,1,1,1,1,169382,0.173
9,png,1,1,0,1,169392,0.173
