configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739161,1.731
1,tiff,1,1,0,1,739163,1.739
10,png,1,0,1,1,739160,1.709
11,png,1,0,0,1,739164,1.734
12,png,0,1,0,0,3168075,5.409
13,png,0,0,0,0,3168066,5.424
14,png,0,0,0,1,3168070,5.44
15,png,0,1,1,0,3168073,5.387
2,tiff,1,0,1,1,739164,1.721
3,tiff,1,0,0,1,739162,1.697
4,tiff,0,1,0,0,4807631,1.836
5,tiff,0,0,0,0,4807709,1.83
6,tiff,0,0,0,1,4807629,1.845
7,tiff,0,1,1,0,4807718,1.819
8,png,1,1,1,1,739163,1.695
9,png,1,1,0,1,739165,1.72
