configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205822,1.146
1,tiff,1,1,0,1,1205598,1.173
10,png,1,0,1,1,1349684,2.512
11,png,1,0,0,1,1349678,2.512
12,png,0,1,0,0,3177548,5.017
13,png,0,0,0,0,3177563,4.983
14,png,0,0,0,1,3177563,4.971
15,png,0,1,1,0,3177568,5.033
2,tiff,1,0,1,1,1205841,1.143
3,tiff,1,0,0,1,1205983,1.145
4,tiff,0,1,0,0,3875949,1.328
5,tiff,0,0,0,0,3875937,1.411
6,tiff,0,0,0,1,3875946,1.313
7,tiff,0,1,1,0,3875934,1.332
8,png,1,1,1,1,1349672,2.537
9,png,1,1,0,1,1349699,2.556
