configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612692,1.356
1,tiff,1,1,0,1,1612670,1.351
10,png,1,0,1,1,1577742,3.083
11,png,1,0,0,1,1577736,3.099
12,png,0,1,0,0,2357339,5.025
13,png,0,0,0,0,2357338,5.109
14,png,0,0,0,1,2341683,5.063
15,png,0,1,1,0,2357324,5.059
2,tiff,1,0,1,1,1612688,1.333
3,tiff,1,0,0,1,1612687,1.378
4,tiff,0,1,0,0,2761976,1.395
5,tiff,0,0,0,0,2762120,1.417
6,tiff,0,0,0,1,2745012,1.38
7,tiff,0,1,1,0,2762030,1.395
8,png,1,1,1,1,1577764,3.126
9,png,1,1,0,1,1577747,3.161
