configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536654,1.854
1,tiff,1,1,0,1,1536643,1.865
10,png,1,0,1,1,1615725,3.562
11,png,1,0,0,1,1615744,3.548
12,png,0,1,0,0,1843126,3.67
13,png,0,0,0,0,1843126,3.746
14,png,0,0,0,1,1843118,3.688
15,png,0,1,1,0,1843135,3.69
2,tiff,1,0,1,1,1536648,1.872
3,tiff,1,0,0,1,1536653,1.853
4,tiff,0,1,0,0,1794990,1.976
5,tiff,0,0,0,0,1794949,1.857
6,tiff,0,0,0,1,1794985,1.92
7,tiff,0,1,1,0,1794961,1.868
8,png,1,1,1,1,1615740,3.591
9,png,1,1,0,1,1615720,3.566
