configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15257211,8.314
1,tiff,1,1,0,1,15256077,8.292
10,png,1,0,1,1,15095070,25.027
11,png,1,0,0,1,15095039,24.907
12,png,0,1,0,0,14807283,31.716
13,png,0,0,0,0,14807342,31.929
14,png,0,0,0,1,14807392,31.708
15,png,0,1,1,0,14807365,31.664
2,tiff,1,0,1,1,15255254,8.541
3,tiff,1,0,0,1,15255329,8.294
4,tiff,0,1,0,0,14377415,8.827
5,tiff,0,0,0,0,14377012,9.006
6,tiff,0,0,0,1,14376927,8.865
7,tiff,0,1,1,0,14377311,8.851
8,png,1,1,1,1,15095097,24.858
9,png,1,1,0,1,15095093,24.966
