configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3274098,5.443
1,tiff,1,1,0,1,3274057,5.459
10,png,1,0,1,1,3254935,8.814
11,png,1,0,0,1,3254934,8.881
12,png,0,1,0,0,8502290,26.109
13,png,0,0,0,0,8502267,26.074
14,png,0,0,0,1,8502311,26.135
15,png,0,1,1,0,8502346,26.087
2,tiff,1,0,1,1,3274087,5.479
3,tiff,1,0,0,1,3274099,5.457
4,tiff,0,1,0,0,10068141,6.202
5,tiff,0,0,0,0,10068082,6.173
6,tiff,0,0,0,1,10068054,6.171
7,tiff,0,1,1,0,10068158,6.143
8,png,1,1,1,1,3254910,8.844
9,png,1,1,0,1,3254920,8.902
