configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,40025.40812908034
1,1,1,0,1,0,1,39035.84583651475
10,1,0,1,1,1,0,39893.1342719124
11,1,0,1,1,1,1,41113.87350658994
12,0,0,1,1,1,1,40178.940931331774
13,1,0,1,0,1,1,40323.751334716166
14,0,1,1,1,0,0,38698.55220976473
15,0,0,1,0,0,1,41206.05168557476
16,1,1,1,1,0,1,40639.701411985785
17,0,1,0,1,0,1,40578.27285074134
18,0,1,0,0,1,0,39759.360446831604
19,0,1,0,0,0,1,40566.223345455874
2,1,0,1,1,0,0,40092.7907549232
20,1,0,0,0,0,1,40409.8039033446
21,0,0,0,0,0,1,35869.53675569366
22,1,1,0,1,0,0,39063.7970401361
23,0,1,1,0,1,0,36518.488032343696
24,1,1,1,1,1,0,38153.50758548961
25,0,1,1,0,0,1,39811.12012169463
26,1,1,1,0,0,0,41156.633091085394
27,0,0,1,0,1,0,39313.167513013635
28,1,0,0,0,1,0,38805.323779980026
29,1,1,0,0,1,1,36454.73342840728
3,1,0,1,0,0,0,41315.26313897669
4,1,1,1,1,1,1,39618.61536108802
5,1,0,0,1,1,1,39158.02416441671
6,1,0,0,1,0,1,36757.43547783563
7,0,0,0,1,1,1,38668.66867253942
8,0,0,1,1,0,1,39380.57505878536
9,0,1,1,1,1,1,38795.65861061884
