configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272440,2.291
1,50%,xz,-3,1,3272440,2.277
10,100%,xz,-9,1,2849908,5.978
11,50%,lzma,-6,16,2849620,5.93
12,75%,xz,-3,32,3272440,2.311
13,50%,lzma,-3,16,3271884,2.258
14,50%,lzma,-6,32,2849620,5.976
15,50%,xz,-6,32,2850104,5.927
16,75%,lzma,-3,16,3271884,2.27
17,75%,lzma,-6,32,2849620,5.934
18,100%,lzma,-6,1,2849620,5.954
19,75%,lzma,-3,1,3271884,2.305
2,75%,xz,-9,16,2849908,5.94
20,75%,lzma,-6,1,2849620,5.924
21,75%,lzma,-6,16,2849620,5.921
22,100%,xz,-9,32,2849908,5.929
23,100%,xz,-9,16,2849908,5.964
24,50%,lzma,-9,32,2849422,5.969
25,50%,lzma,-3,32,3271884,2.307
26,100%,xz,-3,1,3272440,2.283
27,100%,lzma,-9,16,2849422,5.979
28,100%,lzma,-3,1,3271884,2.307
29,50%,lzma,-6,1,2849620,5.888
3,100%,xz,-6,32,2850104,5.974
4,50%,lzma,-3,1,3271884,2.335
5,75%,xz,-3,1,3272440,2.288
6,100%,lzma,-6,16,2849620,5.929
7,75%,xz,-6,32,2850104,5.91
8,50%,xz,-3,32,3272440,2.282
9,75%,xz,-9,32,2849908,5.986
