configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255387,8.345
1,tiff,1,1,0,1,15255419,8.345
10,png,1,0,1,1,15095147,24.863
11,png,1,0,0,1,15095085,24.853
12,png,0,1,0,0,14807425,31.618
13,png,0,0,0,0,14807372,31.714
14,png,0,0,0,1,14807392,31.673
15,png,0,1,1,0,14807357,31.62
2,tiff,1,0,1,1,15255331,8.322
3,tiff,1,0,0,1,15255380,8.247
4,tiff,0,1,0,0,14377457,8.773
5,tiff,0,0,0,0,14377510,8.825
6,tiff,0,0,0,1,14376705,8.821
7,tiff,0,1,1,0,14377422,8.775
8,png,1,1,1,1,15095096,24.955
9,png,1,1,0,1,15095085,24.94
