configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612703,1.345
1,tiff,1,1,0,1,1612676,1.344
10,png,1,0,1,1,1577747,3.137
11,png,1,0,0,1,1577746,3.107
12,png,0,1,0,0,2357341,5.08
13,png,0,0,0,0,2357340,5.081
14,png,0,0,0,1,2341675,4.864
15,png,0,1,1,0,2357348,5.042
2,tiff,1,0,1,1,1612665,1.38
3,tiff,1,0,0,1,1612681,1.315
4,tiff,0,1,0,0,2762584,1.417
5,tiff,0,0,0,0,2762098,1.441
6,tiff,0,0,0,1,2745019,1.381
7,tiff,0,1,1,0,2761954,1.399
8,png,1,1,1,1,1577756,3.115
9,png,1,1,0,1,1577755,3.088
