configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4853736,2.913
1,50%,xz,-3,1,4853736,2.885
10,100%,xz,-9,1,4415072,3.688
11,50%,lzma,-6,16,4414351,3.773
12,75%,xz,-3,32,4853736,2.923
13,50%,lzma,-3,16,4852943,2.92
14,50%,lzma,-6,32,4414351,3.752
15,50%,xz,-6,32,4415072,3.748
16,75%,lzma,-3,16,4852943,2.918
17,75%,lzma,-6,32,4414351,3.752
18,100%,lzma,-6,1,4414351,3.708
19,75%,lzma,-3,1,4852943,2.885
2,75%,xz,-9,16,4415072,3.672
20,75%,lzma,-6,1,4414351,3.707
21,75%,lzma,-6,16,4414351,3.733
22,100%,xz,-9,32,4415072,3.665
23,100%,xz,-9,16,4415072,3.651
24,50%,lzma,-9,32,4414351,3.658
25,50%,lzma,-3,32,4852943,2.855
26,100%,xz,-3,1,4853736,2.953
27,100%,lzma,-9,16,4414351,3.639
28,100%,lzma,-3,1,4852943,2.914
29,50%,lzma,-6,1,4414351,3.737
3,100%,xz,-6,32,4415072,3.763
4,50%,lzma,-3,1,4852943,2.878
5,75%,xz,-3,1,4853736,2.921
6,100%,lzma,-6,16,4414351,3.803
7,75%,xz,-6,32,4415072,3.764
8,50%,xz,-3,32,4853736,2.958
9,75%,xz,-9,32,4415072,3.667
