configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1677976,1.731
1,50%,xz,-3,1,1677976,1.766
10,100%,xz,-9,1,1317152,5.154
11,50%,lzma,-6,16,1316901,5.051
12,75%,xz,-3,32,1677976,1.757
13,50%,lzma,-3,16,1677670,1.715
14,50%,lzma,-6,32,1316901,5.054
15,50%,xz,-6,32,1317152,5.113
16,75%,lzma,-3,16,1677670,1.756
17,75%,lzma,-6,32,1316901,5.055
18,100%,lzma,-6,1,1316901,5.045
19,75%,lzma,-3,1,1677670,1.753
2,75%,xz,-9,16,1317152,5.151
20,75%,lzma,-6,1,1316901,5.056
21,75%,lzma,-6,16,1316901,5.058
22,100%,xz,-9,32,1317152,5.134
23,100%,xz,-9,16,1317152,5.188
24,50%,lzma,-9,32,1316901,5.148
25,50%,lzma,-3,32,1677670,1.77
26,100%,xz,-3,1,1677976,1.743
27,100%,lzma,-9,16,1316901,5.122
28,100%,lzma,-3,1,1677670,1.739
29,50%,lzma,-6,1,1316901,5.086
3,100%,xz,-6,32,1317152,5.105
4,50%,lzma,-3,1,1677670,1.745
5,75%,xz,-3,1,1677976,1.785
6,100%,lzma,-6,16,1316901,5.218
7,75%,xz,-6,32,1317152,5.127
8,50%,xz,-3,32,1677976,1.734
9,75%,xz,-9,32,1317152,5.269
