configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536665,0m1.864s
1,tiff,1,1,0,1,1536655,0m1.857s
10,png,1,0,1,1,1615732,0m3.549s
11,png,1,0,0,1,1615727,0m3.531s
12,png,0,1,0,0,1843105,0m3.703s
13,png,0,0,0,0,1843115,0m3.733s
14,png,0,0,0,1,1843120,0m3.668s
15,png,0,1,1,0,1843116,0m3.688s
2,tiff,1,0,1,1,1536626,0m1.905s
3,tiff,1,0,0,1,1536623,0m1.837s
4,tiff,0,1,0,0,1794941,0m1.916s
5,tiff,0,0,0,0,1794740,0m1.861s
6,tiff,0,0,0,1,1794948,0m1.839s
7,tiff,0,1,1,0,1794953,0m1.869s
8,png,1,1,1,1,1615742,0m3.543s
9,png,1,1,0,1,1615718,0m3.520s
