configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175431,0m0.197s
1,tiff,1,1,0,1,175431,0m0.171s
10,png,1,0,1,1,169396,0m0.174s
11,png,1,0,0,1,169388,0m0.199s
12,png,0,1,0,0,1185053,0m2.866s
13,png,0,0,0,0,1185056,0m2.892s
14,png,0,0,0,1,1184939,0m2.913s
15,png,0,1,1,0,1185055,0m2.888s
2,tiff,1,0,1,1,175434,0m0.171s
3,tiff,1,0,0,1,175434,0m0.194s
4,tiff,0,1,0,0,1698513,0m0.365s
5,tiff,0,0,0,0,1698340,0m0.390s
6,tiff,0,0,0,1,1696518,0m0.341s
7,tiff,0,1,1,0,1698341,0m0.348s
8,png,1,1,1,1,169395,0m0.167s
9,png,1,1,0,1,169452,0m0.172s
