configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,86303.72039803966
1,1,1,0,1,0,1,98337.83491162279
10,1,0,1,1,1,0,96659.37468344056
11,1,0,1,1,1,1,99078.59875515668
12,0,0,1,1,1,1,85554.18450221879
13,1,0,1,0,1,1,85962.38543900345
14,0,1,1,1,0,0,85652.12185144941
15,0,0,1,0,0,1,84717.90631555048
16,1,1,1,1,0,1,85783.82698637384
17,0,1,0,1,0,1,84164.51401894643
18,0,1,0,0,1,0,86404.94263921479
19,0,1,0,0,0,1,85662.40855966197
2,1,0,1,1,0,0,85509.52948124874
20,1,0,0,0,0,1,84478.63839358125
21,0,0,0,0,0,1,85754.10011791189
22,1,1,0,1,0,0,85769.25155178018
23,0,1,1,0,1,0,85681.78538906215
24,1,1,1,1,1,0,86843.79094684742
25,0,1,1,0,0,1,85561.62177947124
26,1,1,1,0,0,0,86087.71701314532
27,0,0,1,0,1,0,84689.12147909212
28,1,0,0,0,1,0,86081.24020341686
29,1,1,0,0,1,1,85167.11619290044
3,1,0,1,0,0,0,86278.20251098904
4,1,1,1,1,1,1,85519.78196560548
5,1,0,0,1,1,1,85293.86251806418
6,1,0,0,1,0,1,85818.11091681891
7,0,0,0,1,1,1,85655.39395999275
8,0,0,1,1,0,1,86102.98657680271
9,0,1,1,1,1,1,85428.8532705625
