configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15257084,0m8.277s
1,tiff,1,1,0,1,15255319,0m8.299s
10,png,1,0,1,1,15095131,0m24.877s
11,png,1,0,0,1,15095099,0m24.816s
12,png,0,1,0,0,14807364,0m31.508s
13,png,0,0,0,0,14807373,0m31.638s
14,png,0,0,0,1,14807411,0m32.100s
15,png,0,1,1,0,14807389,0m31.581s
2,tiff,1,0,1,1,15255324,0m8.266s
3,tiff,1,0,0,1,15255274,0m8.253s
4,tiff,0,1,0,0,14377499,0m8.778s
5,tiff,0,0,0,0,14377502,0m8.801s
6,tiff,0,0,0,1,14376753,0m9.247s
7,tiff,0,1,1,0,14377464,0m8.818s
8,png,1,1,1,1,15095103,0m24.862s
9,png,1,1,0,1,15095097,0m24.819s
