configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205831,0m1.140s
1,tiff,1,1,0,1,1205578,0m1.165s
10,png,1,0,1,1,1349686,0m2.500s
11,png,1,0,0,1,1349876,0m2.493s
12,png,0,1,0,0,3177575,0m5.012s
13,png,0,0,0,0,3177560,0m5.036s
14,png,0,0,0,1,3177578,0m4.998s
15,png,0,1,1,0,3177567,0m4.984s
2,tiff,1,0,1,1,1205575,0m1.181s
3,tiff,1,0,0,1,1205619,0m1.128s
4,tiff,0,1,0,0,3875936,0m1.297s
5,tiff,0,0,0,0,3876313,0m1.294s
6,tiff,0,0,0,1,3876311,0m1.298s
7,tiff,0,1,1,0,3876301,0m1.354s
8,png,1,1,1,1,1349687,0m2.520s
9,png,1,1,0,1,1349685,0m2.551s
