configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213190,4.225
1,tiff,1,1,0,1,2214588,4.268
10,png,1,0,1,1,1753462,8.221
11,png,1,0,0,1,1753348,8.287
12,png,0,1,0,0,1894395,8.297
13,png,0,0,0,0,1894278,8.35
14,png,0,0,0,1,1894605,8.313
15,png,0,1,1,0,1894246,8.289
2,tiff,1,0,1,1,2213090,4.194
3,tiff,1,0,0,1,2214706,4.269
4,tiff,0,1,0,0,2400512,4.54
5,tiff,0,0,0,0,2399733,4.296
6,tiff,0,0,0,1,2401420,4.253
7,tiff,0,1,1,0,2400359,4.256
8,png,1,1,1,1,1753252,8.238
9,png,1,1,0,1,1753428,8.203
