configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205811,1.144
1,tiff,1,1,0,1,1205839,1.204
10,png,1,0,1,1,1349668,2.541
11,png,1,0,0,1,1349934,2.538
12,png,0,1,0,0,3177566,4.989
13,png,0,0,0,0,3177544,5.032
14,png,0,0,0,1,3177558,4.992
15,png,0,1,1,0,3177573,4.991
2,tiff,1,0,1,1,1205837,1.15
3,tiff,1,0,0,1,1205600,1.173
4,tiff,0,1,0,0,3875978,1.358
5,tiff,0,0,0,0,3876305,1.343
6,tiff,0,0,0,1,3875960,1.311
7,tiff,0,1,1,0,3875940,1.314
8,png,1,1,1,1,1349690,2.507
9,png,1,1,0,1,1349593,2.546
