configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255450,8.259
1,tiff,1,1,0,1,15255430,8.296
10,png,1,0,1,1,15095128,24.906
11,png,1,0,0,1,15095096,24.981
12,png,0,1,0,0,14807367,31.671
13,png,0,0,0,0,14807373,31.524
14,png,0,0,0,1,14807381,31.676
15,png,0,1,1,0,14807384,31.66
2,tiff,1,0,1,1,15255435,8.275
3,tiff,1,0,0,1,15255363,8.383
4,tiff,0,1,0,0,14376881,8.79
5,tiff,0,0,0,0,14377456,8.813
6,tiff,0,0,0,1,14378161,8.832
7,tiff,0,1,1,0,14376936,8.734
8,png,1,1,1,1,15095097,24.871
9,png,1,1,0,1,15095087,24.803
