configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612727,1.368
1,tiff,1,1,0,1,1612689,1.339
10,png,1,0,1,1,1577742,3.137
11,png,1,0,0,1,1577743,3.086
12,png,0,1,0,0,2357304,5.053
13,png,0,0,0,0,2357335,5.065
14,png,0,0,0,1,2341674,4.867
15,png,0,1,1,0,2357339,5.056
2,tiff,1,0,1,1,1612682,1.356
3,tiff,1,0,0,1,1612662,1.315
4,tiff,0,1,0,0,2762590,1.426
5,tiff,0,0,0,0,2762579,1.444
6,tiff,0,0,0,1,2744983,1.382
7,tiff,0,1,1,0,2762556,1.408
8,png,1,1,1,1,1577756,3.077
9,png,1,1,0,1,1577756,3.153
