configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362669,6.175
1,tiff,1,1,0,1,6362691,6.128
10,png,1,0,1,1,6662736,12.398
11,png,1,0,0,1,6662493,12.321
12,png,0,1,0,0,10651958,31.909
13,png,0,0,0,0,10651927,32.029
14,png,0,0,0,1,10651957,31.955
15,png,0,1,1,0,10651940,32.087
2,tiff,1,0,1,1,6362660,6.127
3,tiff,1,0,0,1,6362668,6.109
4,tiff,0,1,0,0,11409243,9.505
5,tiff,0,0,0,0,11409619,9.567
6,tiff,0,0,0,1,11409245,9.492
7,tiff,0,1,1,0,11409261,9.39
8,png,1,1,1,1,6662424,12.394
9,png,1,1,0,1,6662500,12.317
