configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4248448,2.019
1,50%,xz,-3,1,4244480,3.018
10,100%,xz,-9,1,3763616,8.49
11,50%,lzma,-6,16,3786768,8.156
12,75%,xz,-3,32,4248448,1.997
13,50%,lzma,-3,16,4243773,3.037
14,50%,lzma,-6,32,3786768,8.217
15,50%,xz,-6,32,3787408,8.192
16,75%,lzma,-3,16,4243773,3.032
17,75%,lzma,-6,32,3786768,8.224
18,100%,lzma,-6,1,3786768,8.164
19,75%,lzma,-3,1,4243773,3.05
2,75%,xz,-9,16,3763624,8.502
20,75%,lzma,-6,1,3786768,8.202
21,75%,lzma,-6,16,3786768,8.258
22,100%,xz,-9,32,3763624,8.502
23,100%,xz,-9,16,3763624,8.513
24,50%,lzma,-9,32,3762987,8.473
25,50%,lzma,-3,32,4243773,3.043
26,100%,xz,-3,1,4244480,3.044
27,100%,lzma,-9,16,3762987,8.474
28,100%,lzma,-3,1,4243773,3.085
29,50%,lzma,-6,1,3786768,8.161
3,100%,xz,-6,32,3787408,8.258
4,50%,lzma,-3,1,4243773,3.012
5,75%,xz,-3,1,4244480,3.039
6,100%,lzma,-6,16,3786768,8.191
7,75%,xz,-6,32,3787408,8.241
8,50%,xz,-3,32,4248448,2.043
9,75%,xz,-9,32,3763624,8.482
