configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10362252,12.512
1,50%,xz,-3,1,10362252,12.468
10,100%,xz,-9,1,8385868,34.711
11,50%,lzma,-6,16,8627467,29.709
12,75%,xz,-3,32,10362252,12.585
13,50%,lzma,-3,16,10360607,12.42
14,50%,lzma,-6,32,8627467,29.808
15,50%,xz,-6,32,8628848,29.766
16,75%,lzma,-3,16,10360607,12.416
17,75%,lzma,-6,32,8627467,29.788
18,100%,lzma,-6,1,8627467,29.95
19,75%,lzma,-3,1,10360607,12.341
2,75%,xz,-9,16,8385868,34.253
20,75%,lzma,-6,1,8627467,29.797
21,75%,lzma,-6,16,8627467,29.776
22,100%,xz,-9,32,8385868,34.326
23,100%,xz,-9,16,8385868,34.36
24,50%,lzma,-9,32,8384529,34.518
25,50%,lzma,-3,32,10360607,12.495
26,100%,xz,-3,1,10362252,12.431
27,100%,lzma,-9,16,8384529,34.304
28,100%,lzma,-3,1,10360607,12.485
29,50%,lzma,-6,1,8627467,29.828
3,100%,xz,-6,32,8628848,29.688
4,50%,lzma,-3,1,10360607,12.316
5,75%,xz,-3,1,10362252,12.465
6,100%,lzma,-6,16,8627467,30.043
7,75%,xz,-6,32,8628848,29.759
8,50%,xz,-3,32,10362252,12.545
9,75%,xz,-9,32,8385868,34.404
