configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175427,0m0.174s
1,tiff,1,1,0,1,175427,0m0.195s
10,png,1,0,1,1,169465,0m0.174s
11,png,1,0,0,1,169387,0m0.198s
12,png,0,1,0,0,1185035,0m2.874s
13,png,0,0,0,0,1185030,0m2.926s
14,png,0,0,0,1,1184903,0m2.924s
15,png,0,1,1,0,1185042,0m2.870s
2,tiff,1,0,1,1,175425,0m0.175s
3,tiff,1,0,0,1,175425,0m0.174s
4,tiff,0,1,0,0,1698475,0m0.369s
5,tiff,0,0,0,0,1698410,0m0.383s
6,tiff,0,0,0,1,1696530,0m0.343s
7,tiff,0,1,1,0,1698384,0m0.343s
8,png,1,1,1,1,169447,0m0.172s
9,png,1,1,0,1,169390,0m0.174s
