configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362663,0m6.184s
1,tiff,1,1,0,1,6362695,0m6.134s
10,png,1,0,1,1,6662469,0m12.320s
11,png,1,0,0,1,6662506,0m12.478s
12,png,0,1,0,0,10651944,0m32.084s
13,png,0,0,0,0,10651912,0m31.948s
14,png,0,0,0,1,10651968,0m32.016s
15,png,0,1,1,0,10651935,0m32.032s
2,tiff,1,0,1,1,6362671,0m6.114s
3,tiff,1,0,0,1,6362682,0m6.125s
4,tiff,0,1,0,0,11409646,0m9.517s
5,tiff,0,0,0,0,11409307,0m9.366s
6,tiff,0,0,0,1,11409222,0m9.348s
7,tiff,0,1,1,0,11409289,0m9.551s
8,png,1,1,1,1,6662463,0m12.369s
9,png,1,1,0,1,6662733,0m12.350s
