configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3274018,0m5.493s
1,tiff,1,1,0,1,3273997,0m5.515s
10,png,1,0,1,1,3254957,0m8.796s
11,png,1,0,0,1,3254946,0m8.830s
12,png,0,1,0,0,8502339,0m26.153s
13,png,0,0,0,0,8502341,0m26.184s
14,png,0,0,0,1,8502341,0m26.184s
15,png,0,1,1,0,8502326,0m26.144s
2,tiff,1,0,1,1,3273966,0m5.459s
3,tiff,1,0,0,1,3273958,0m5.474s
4,tiff,0,1,0,0,10068758,0m6.175s
5,tiff,0,0,0,0,10068888,0m6.172s
6,tiff,0,0,0,1,10068881,0m6.125s
7,tiff,0,1,1,0,10068918,0m6.129s
8,png,1,1,1,1,3254919,0m8.847s
9,png,1,1,0,1,3254943,0m8.834s
