configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,10.25301945471384
1,1,1,0,1,0,1,10.303151550244557
10,1,0,1,1,1,0,10.310502247656784
11,1,0,1,1,1,1,10.328767596943024
12,0,0,1,1,1,1,10.282634375246197
13,1,0,1,0,1,1,10.261839937350313
14,0,1,1,1,0,0,10.28399510878281
15,0,0,1,0,0,1,10.321265532813182
16,1,1,1,1,0,1,10.355006378942807
17,0,1,0,1,0,1,10.277632526638056
18,0,1,0,0,1,0,10.251543401895232
19,0,1,0,0,0,1,10.285123410149607
2,1,0,1,1,0,0,10.342778229343118
20,1,0,0,0,0,1,10.309882863721354
21,0,0,0,0,0,1,10.344591071846327
22,1,1,0,1,0,0,10.37283761558792
23,0,1,1,0,1,0,10.357776640825495
24,1,1,1,1,1,0,10.286398943652149
25,0,1,1,0,0,1,10.333147675301037
26,1,1,1,0,0,0,10.33281555562294
27,0,0,1,0,1,0,10.272799490595244
28,1,0,0,0,1,0,10.332483827618107
29,1,1,0,0,1,1,10.355800915359664
3,1,0,1,0,0,0,10.281649362565645
4,1,1,1,1,1,1,10.28221981125089
5,1,0,0,1,1,1,10.38951502870459
6,1,0,0,1,0,1,10.357256371979126
7,0,0,0,1,1,1,10.294720150286649
8,0,0,1,1,0,1,10.180882378711066
9,0,1,1,1,1,1,10.29837241725666
