configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272440,2.259
1,50%,xz,-3,1,3272440,2.277
10,100%,xz,-9,1,2849908,5.585
11,50%,lzma,-6,16,2849620,5.471
12,75%,xz,-3,32,3272440,2.294
13,50%,lzma,-3,16,3271884,2.247
14,50%,lzma,-6,32,2849620,5.495
15,50%,xz,-6,32,2850104,5.483
16,75%,lzma,-3,16,3271884,2.235
17,75%,lzma,-6,32,2849620,5.497
18,100%,lzma,-6,1,2849620,5.45
19,75%,lzma,-3,1,3271884,2.233
2,75%,xz,-9,16,2849908,5.542
20,75%,lzma,-6,1,2849620,5.472
21,75%,lzma,-6,16,2849620,5.453
22,100%,xz,-9,32,2849908,5.532
23,100%,xz,-9,16,2849908,5.558
24,50%,lzma,-9,32,2849422,5.602
25,50%,lzma,-3,32,3271884,2.244
26,100%,xz,-3,1,3272440,2.278
27,100%,lzma,-9,16,2849422,5.498
28,100%,lzma,-3,1,3271884,2.238
29,50%,lzma,-6,1,2849620,5.479
3,100%,xz,-6,32,2850104,5.49
4,50%,lzma,-3,1,3271884,2.264
5,75%,xz,-3,1,3272440,2.254
6,100%,lzma,-6,16,2849620,5.453
7,75%,xz,-6,32,2850104,5.506
8,50%,xz,-3,32,3272440,2.28
9,75%,xz,-9,32,2849908,5.602
