configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612696,0m1.361s
1,tiff,1,1,0,1,1612680,0m1.325s
10,png,1,0,1,1,1577745,0m3.084s
11,png,1,0,0,1,1577763,0m3.164s
12,png,0,1,0,0,2357339,0m5.072s
13,png,0,0,0,0,2357339,0m5.041s
14,png,0,0,0,1,2341681,0m4.879s
15,png,0,1,1,0,2357326,0m5.074s
2,tiff,1,0,1,1,1612683,0m1.352s
3,tiff,1,0,0,1,1612669,0m1.339s
4,tiff,0,1,0,0,2761935,0m1.425s
5,tiff,0,0,0,0,2762496,0m1.444s
6,tiff,0,0,0,1,2745000,0m1.387s
7,tiff,0,1,1,0,2762493,0m1.431s
8,png,1,1,1,1,1577747,0m3.094s
9,png,1,1,0,1,1577749,0m3.124s
