configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536661,0m1.852s
1,tiff,1,1,0,1,1536647,0m1.920s
10,png,1,0,1,1,1615758,0m3.522s
11,png,1,0,0,1,1615746,0m3.528s
12,png,0,1,0,0,1843152,0m3.677s
13,png,0,0,0,0,1843159,0m3.682s
14,png,0,0,0,1,1843155,0m3.787s
15,png,0,1,1,0,1843147,0m3.773s
2,tiff,1,0,1,1,1536662,0m1.908s
3,tiff,1,0,0,1,1536665,0m1.855s
4,tiff,0,1,0,0,1795107,0m1.924s
5,tiff,0,0,0,0,1795128,0m1.894s
6,tiff,0,0,0,1,1795164,0m1.897s
7,tiff,0,1,1,0,1795105,0m1.861s
8,png,1,1,1,1,1615762,0m3.519s
9,png,1,1,0,1,1615784,0m3.591s
