configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214698,0m4.194s
1,tiff,1,1,0,1,2213221,0m4.218s
10,png,1,0,1,1,1753441,0m8.225s
11,png,1,0,0,1,1753424,0m8.253s
12,png,0,1,0,0,1894316,0m8.295s
13,png,0,0,0,0,1894460,0m8.356s
14,png,0,0,0,1,1894408,0m8.288s
15,png,0,1,1,0,1894443,0m8.366s
2,tiff,1,0,1,1,2214639,0m4.221s
3,tiff,1,0,0,1,2214795,0m4.257s
4,tiff,0,1,0,0,2400412,0m4.252s
5,tiff,0,0,0,0,2400550,0m4.237s
6,tiff,0,0,0,1,2399934,0m4.261s
7,tiff,0,1,1,0,2401527,0m4.207s
8,png,1,1,1,1,1753358,0m8.256s
9,png,1,1,0,1,1753359,0m8.296s
