configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214671,0m4.147s
1,tiff,1,1,0,1,2214473,0m4.200s
10,png,1,0,1,1,1753296,0m8.205s
11,png,1,0,0,1,1753369,0m8.216s
12,png,0,1,0,0,1894277,0m8.274s
13,png,0,0,0,0,1894359,0m8.309s
14,png,0,0,0,1,1894270,0m8.289s
15,png,0,1,1,0,1894284,0m8.324s
2,tiff,1,0,1,1,2213273,0m4.154s
3,tiff,1,0,0,1,2213223,0m4.198s
4,tiff,0,1,0,0,2400998,0m4.220s
5,tiff,0,0,0,0,2399769,0m4.187s
6,tiff,0,0,0,1,2400214,0m4.167s
7,tiff,0,1,1,0,2400475,0m4.194s
8,png,1,1,1,1,1753686,0m8.286s
9,png,1,1,0,1,1753317,0m8.230s
