configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536655,0m1.911s
1,tiff,1,1,0,1,1536656,0m1.875s
10,png,1,0,1,1,1615771,0m3.580s
11,png,1,0,0,1,1615763,0m3.603s
12,png,0,1,0,0,1843136,0m3.710s
13,png,0,0,0,0,1843138,0m3.693s
14,png,0,0,0,1,1843142,0m3.688s
15,png,0,1,1,0,1843140,0m3.700s
2,tiff,1,0,1,1,1536660,0m1.836s
3,tiff,1,0,0,1,1536656,0m1.903s
4,tiff,0,1,0,0,1795118,0m1.865s
5,tiff,0,0,0,0,1795102,0m1.888s
6,tiff,0,0,0,1,1795116,0m1.875s
7,tiff,0,1,1,0,1795040,0m1.873s
8,png,1,1,1,1,1615756,0m3.523s
9,png,1,1,0,1,1615761,0m3.546s
