configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175423,0m0.175s
1,tiff,1,1,0,1,175423,0m0.170s
10,png,1,0,1,1,169455,0m0.195s
11,png,1,0,0,1,169395,0m0.174s
12,png,0,1,0,0,1185030,0m2.877s
13,png,0,0,0,0,1185036,0m2.881s
14,png,0,0,0,1,1184893,0m2.916s
15,png,0,1,1,0,1184995,0m2.889s
2,tiff,1,0,1,1,175430,0m0.202s
3,tiff,1,0,0,1,175430,0m0.196s
4,tiff,0,1,0,0,1698471,0m0.366s
5,tiff,0,0,0,0,1698499,0m0.347s
6,tiff,0,0,0,1,1696501,0m0.343s
7,tiff,0,1,1,0,1698419,0m0.349s
8,png,1,1,1,1,169457,0m0.200s
9,png,1,1,0,1,169386,0m0.175s
