configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739162,1.723
1,tiff,1,1,0,1,739166,1.687
10,png,1,0,1,1,739164,1.697
11,png,1,0,0,1,739164,1.708
12,png,0,1,0,0,3168073,5.447
13,png,0,0,0,0,3168071,5.438
14,png,0,0,0,1,3168071,5.431
15,png,0,1,1,0,3168071,5.409
2,tiff,1,0,1,1,739165,1.692
3,tiff,1,0,0,1,739165,1.69
4,tiff,0,1,0,0,4807617,1.846
5,tiff,0,0,0,0,4807717,1.824
6,tiff,0,0,0,1,4807630,1.823
7,tiff,0,1,1,0,4807711,1.812
8,png,1,1,1,1,739165,1.731
9,png,1,1,0,1,739164,1.724
