configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213279,4.183
1,tiff,1,1,0,1,2214682,4.175
10,png,1,0,1,1,1753472,8.286
11,png,1,0,0,1,1753345,8.281
12,png,0,1,0,0,1894428,8.355
13,png,0,0,0,0,1894310,8.341
14,png,0,0,0,1,1894355,8.297
15,png,0,1,1,0,1894310,8.299
2,tiff,1,0,1,1,2213265,4.243
3,tiff,1,0,0,1,2214631,4.17
4,tiff,0,1,0,0,2400706,4.267
5,tiff,0,0,0,0,2401040,4.276
6,tiff,0,0,0,1,2401032,4.2
7,tiff,0,1,1,0,2400731,4.296
8,png,1,1,1,1,1753364,8.25
9,png,1,1,0,1,1753368,8.237
