configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273987,5.475
1,tiff,1,1,0,1,3273982,5.546
10,png,1,0,1,1,3254933,8.9
11,png,1,0,0,1,3254923,8.912
12,png,0,1,0,0,8502344,26.076
13,png,0,0,0,0,8502351,25.916
14,png,0,0,0,1,8502353,26.024
15,png,0,1,1,0,8502328,26.025
2,tiff,1,0,1,1,3274031,5.505
3,tiff,1,0,0,1,3273927,5.481
4,tiff,0,1,0,0,10068848,6.204
5,tiff,0,0,0,0,10068825,6.149
6,tiff,0,0,0,1,10068494,6.21
7,tiff,0,1,1,0,10068881,6.208
8,png,1,1,1,1,3254951,8.922
9,png,1,1,0,1,3254940,8.891
