configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205630,1.145
1,tiff,1,1,0,1,1205814,1.148
10,png,1,0,1,1,1349705,2.532
11,png,1,0,0,1,1349700,2.536
12,png,0,1,0,0,3177789,5.008
13,png,0,0,0,0,3177564,5.037
14,png,0,0,0,1,3177559,5.013
15,png,0,1,1,0,3177565,5.021
2,tiff,1,0,1,1,1206053,1.144
3,tiff,1,0,0,1,1205573,1.144
4,tiff,0,1,0,0,3875934,1.307
5,tiff,0,0,0,0,3875948,1.332
6,tiff,0,0,0,1,3875906,1.308
7,tiff,0,1,1,0,3875961,1.326
8,png,1,1,1,1,1349987,2.528
9,png,1,1,0,1,1349708,2.589
