configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.2902202494000212
1,1,1,0,1,0,1,0.05865155447769432
10,1,0,1,1,1,0,0.05913415638754538
11,1,0,1,1,1,1,0.05876827782915092
12,0,0,1,1,1,1,0.27866204802711075
13,1,0,1,0,1,1,0.05898146812005318
14,0,1,1,1,0,0,0.2862771688090607
15,0,0,1,0,0,1,0.2769838430632178
16,1,1,1,1,0,1,0.05883430806277973
17,0,1,0,1,0,1,0.2825577972884044
18,0,1,0,0,1,0,0.290487641816335
19,0,1,0,0,0,1,0.277165808525262
2,1,0,1,1,0,0,0.05853040992710525
20,1,0,0,0,0,1,0.05904221583653956
21,0,0,0,0,0,1,0.27800233451055445
22,1,1,0,1,0,0,0.05869791195956059
23,0,1,1,0,1,0,0.2897951545403303
24,1,1,1,1,1,0,0.05876038738394832
25,0,1,1,0,0,1,0.27716222036011817
26,1,1,1,0,0,0,0.0587415266949103
27,0,0,1,0,1,0,0.2877330927018877
28,1,0,0,0,1,0,0.058302628906737486
29,1,1,0,0,1,1,0.05935605748769214
3,1,0,1,0,0,0,0.05949601799693668
4,1,1,1,1,1,1,0.05868855395106485
5,1,0,0,1,1,1,0.05946316894896472
6,1,0,0,1,0,1,0.058243259682548176
7,0,0,0,1,1,1,0.2816254615117342
8,0,0,1,1,0,1,0.281533817406496
9,0,1,1,1,1,1,0.2808876072936914
