configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.013787122225710564
1,1,1,0,1,0,1,0.013673722528595288
10,1,0,1,1,1,0,0.013804913261513388
11,1,0,1,1,1,1,0.013880610488902526
12,0,0,1,1,1,1,0.01389262711728593
13,1,0,1,0,1,1,0.013923384442954451
14,0,1,1,1,0,0,0.013936122842481309
15,0,0,1,0,0,1,0.013659918599380556
16,1,1,1,1,0,1,0.013802350645196644
17,0,1,0,1,0,1,0.013775412479589008
18,0,1,0,0,1,0,0.013899581235674854
19,0,1,0,0,0,1,0.013934731169036782
2,1,0,1,1,0,0,0.013858321250889906
20,1,0,0,0,0,1,0.01376971119679925
21,0,0,0,0,0,1,0.013716413008287028
22,1,1,0,1,0,0,0.013861194470923979
23,0,1,1,0,1,0,0.013937593149161834
24,1,1,1,1,1,0,0.013779781796775336
25,0,1,1,0,0,1,0.013748430830892557
26,1,1,1,0,0,0,0.013905145031389026
27,0,0,1,0,1,0,0.014094383834722512
28,1,0,0,0,1,0,0.01391481261814043
29,1,1,0,0,1,1,0.013826202032851405
3,1,0,1,0,0,0,0.013909613098698629
4,1,1,1,1,1,1,0.013744139957706543
5,1,0,0,1,1,1,0.013849690502863016
6,1,0,0,1,0,1,0.013788034432502714
7,0,0,0,1,1,1,0.01388513795953952
8,0,0,1,1,0,1,0.013601420302543788
9,0,1,1,1,1,1,0.013858951069736045
