configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3382412,4.131
1,50%,xz,-3,1,3382412,4.082
10,100%,xz,-9,1,2830604,8.478
11,50%,lzma,-6,16,2831189,8.308
12,75%,xz,-3,32,3382412,4.098
13,50%,lzma,-3,16,3381840,4.021
14,50%,lzma,-6,32,2831189,8.26
15,50%,xz,-6,32,2831676,8.304
16,75%,lzma,-3,16,3381840,4.117
17,75%,lzma,-6,32,2831189,8.309
18,100%,lzma,-6,1,2831189,8.308
19,75%,lzma,-3,1,3381840,4.102
2,75%,xz,-9,16,2830604,8.451
20,75%,lzma,-6,1,2831189,8.28
21,75%,lzma,-6,16,2831189,8.311
22,100%,xz,-9,32,2830604,8.472
23,100%,xz,-9,16,2830604,8.456
24,50%,lzma,-9,32,2830116,8.42
25,50%,lzma,-3,32,3381840,4.058
26,100%,xz,-3,1,3382412,4.103
27,100%,lzma,-9,16,2830116,8.422
28,100%,lzma,-3,1,3381840,4.035
29,50%,lzma,-6,1,2831189,8.299
3,100%,xz,-6,32,2831676,8.307
4,50%,lzma,-3,1,3381840,4.045
5,75%,xz,-3,1,3382412,4.147
6,100%,lzma,-6,16,2831189,8.274
7,75%,xz,-6,32,2831676,8.317
8,50%,xz,-3,32,3382412,4.089
9,75%,xz,-9,32,2830604,8.41
