configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2131652,2.622
1,50%,xz,-3,1,2131652,2.616
10,100%,xz,-9,1,1738884,11.937
11,50%,lzma,-6,16,1778958,11.466
12,75%,xz,-3,32,2131652,2.627
13,50%,lzma,-3,16,2131278,2.578
14,50%,lzma,-6,32,1778958,11.413
15,50%,xz,-6,32,1779272,11.636
16,75%,lzma,-3,16,2131278,2.523
17,75%,lzma,-6,32,1778958,11.496
18,100%,lzma,-6,1,1778958,11.475
19,75%,lzma,-3,1,2131278,2.525
2,75%,xz,-9,16,1738884,11.884
20,75%,lzma,-6,1,1778958,11.481
21,75%,lzma,-6,16,1778958,11.479
22,100%,xz,-9,32,1738884,11.895
23,100%,xz,-9,16,1738884,11.93
24,50%,lzma,-9,32,1738572,11.759
25,50%,lzma,-3,32,2131278,2.558
26,100%,xz,-3,1,2131652,2.618
27,100%,lzma,-9,16,1738572,11.815
28,100%,lzma,-3,1,2131278,2.55
29,50%,lzma,-6,1,1778958,11.448
3,100%,xz,-6,32,1779272,11.557
4,50%,lzma,-3,1,2131278,2.528
5,75%,xz,-3,1,2131652,2.604
6,100%,lzma,-6,16,1778958,11.461
7,75%,xz,-6,32,1779272,11.59
8,50%,xz,-3,32,2131652,2.658
9,75%,xz,-9,32,1738884,11.934
