configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2618072,1.821
1,50%,xz,-3,1,2618064,1.815
10,100%,xz,-9,1,2426816,2.94
11,50%,lzma,-6,16,2426397,2.905
12,75%,xz,-3,32,2618072,1.826
13,50%,lzma,-3,16,2617615,1.803
14,50%,lzma,-6,32,2426397,2.89
15,50%,xz,-6,32,2426824,2.938
16,75%,lzma,-3,16,2617615,1.778
17,75%,lzma,-6,32,2426397,2.936
18,100%,lzma,-6,1,2426397,2.909
19,75%,lzma,-3,1,2617615,1.768
2,75%,xz,-9,16,2426824,2.955
20,75%,lzma,-6,1,2426397,2.916
21,75%,lzma,-6,16,2426397,2.955
22,100%,xz,-9,32,2426824,2.974
23,100%,xz,-9,16,2426824,2.969
24,50%,lzma,-9,32,2426397,2.91
25,50%,lzma,-3,32,2617615,1.824
26,100%,xz,-3,1,2618064,1.813
27,100%,lzma,-9,16,2426397,2.972
28,100%,lzma,-3,1,2617615,1.804
29,50%,lzma,-6,1,2426397,2.923
3,100%,xz,-6,32,2426824,2.916
4,50%,lzma,-3,1,2617615,1.762
5,75%,xz,-3,1,2618064,1.817
6,100%,lzma,-6,16,2426397,2.918
7,75%,xz,-6,32,2426824,2.933
8,50%,xz,-3,32,2618072,1.797
9,75%,xz,-9,32,2426824,2.986
