configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255329,8.287
1,tiff,1,1,0,1,15255379,8.376
10,png,1,0,1,1,15095108,24.977
11,png,1,0,0,1,15095115,24.761
12,png,0,1,0,0,14807394,31.612
13,png,0,0,0,0,14807425,31.671
14,png,0,0,0,1,14807387,31.674
15,png,0,1,1,0,14807430,31.709
2,tiff,1,0,1,1,15255428,8.346
3,tiff,1,0,0,1,15255233,8.417
4,tiff,0,1,0,0,14377510,8.774
5,tiff,0,0,0,0,14377548,8.78
6,tiff,0,0,0,1,14376912,8.785
7,tiff,0,1,1,0,14377491,8.742
8,png,1,1,1,1,15095113,24.935
9,png,1,1,0,1,15095120,24.854
