configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213190,4.222
1,tiff,1,1,0,1,2214599,4.184
10,png,1,0,1,1,1753377,8.209
11,png,1,0,0,1,1753278,8.263
12,png,0,1,0,0,1894347,8.329
13,png,0,0,0,0,1894336,8.341
14,png,0,0,0,1,1894580,8.354
15,png,0,1,1,0,1894326,8.329
2,tiff,1,0,1,1,2213112,4.186
3,tiff,1,0,0,1,2213136,4.222
4,tiff,0,1,0,0,2400773,4.254
5,tiff,0,0,0,0,2400710,4.296
6,tiff,0,0,0,1,2401347,4.262
7,tiff,0,1,1,0,2400422,4.295
8,png,1,1,1,1,1753223,8.256
9,png,1,1,0,1,1753407,8.325
