configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536653,1.86
1,tiff,1,1,0,1,1536671,1.916
10,png,1,0,1,1,1615749,3.575
11,png,1,0,0,1,1615761,3.55
12,png,0,1,0,0,1843158,3.735
13,png,0,0,0,0,1843148,3.716
14,png,0,0,0,1,1843172,3.659
15,png,0,1,1,0,1843158,3.764
2,tiff,1,0,1,1,1536642,1.887
3,tiff,1,0,0,1,1536654,1.883
4,tiff,0,1,0,0,1795124,1.924
5,tiff,0,0,0,0,1795178,1.859
6,tiff,0,0,0,1,1795109,1.891
7,tiff,0,1,1,0,1795181,1.862
8,png,1,1,1,1,1615761,3.522
9,png,1,1,0,1,1615772,3.545
